epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8049,1.72052,3.39373,1.59945,0.00447,0.87807,0.29606,0.18206,1.3144,3.21393,1.27632,0.00022864,0.00022864,0.00022864
2,82.0516,1.68571,2.68549,1.49309,0.53731,0.4026,0.45162,0.27004,1.45897,2.89779,1.35005,0.000424885,0.000424885,0.000424885
3,141.448,1.60973,2.29513,1.49994,1,0.08396,0.58019,0.29799,1.40285,2.89875,1.3777,0.000573029,0.000573029,0.000573029
4,187.02,1.51295,2.40354,1.41607,0.8266,0.15607,0.47474,0.28395,1.32981,2.84263,1.36045,0.000673073,0.000673073,0.000673073
5,230.663,1.55894,2.41843,1.44395,0.77554,0.41032,0.63259,0.33932,1.4855,2.46848,1.3516,0.000725017,0.000725017,0.000725017
6,282.849,1.57415,2.2932,1.47804,0.65818,0.56854,0.66178,0.36166,1.38432,2.2535,1.34539,0.000721645,0.000721645,0.000721645
7,317.945,1.50654,2.08453,1.41408,0.68761,0.64646,0.69859,0.38122,1.47127,2.0636,1.45195,0.000580174,0.000580174,0.000580174
8,357.627,1.47521,1.9843,1.34069,0.72611,0.65,0.73619,0.4107,1.48529,1.97678,1.43544,0.000438703,0.000438703,0.000438703
9,402.683,1.40872,2.00148,1.3262,0.7926,0.68325,0.82307,0.48857,1.34325,1.80552,1.29851,0.000297232,0.000297232,0.000297232
10,437.474,1.37047,1.83189,1.32315,0.86301,0.78571,0.86202,0.52007,1.31461,1.66641,1.27529,0.000155761,0.000155761,0.000155761
